10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Punjab,45,Garhshankar,8 MOHINDER KUMAR,MALE,56,GENERAL,CPI(M),"Hammer, Sickle and Star",1183,6,1189,0.97,176304
Punjab,45,Garhshankar,9 NOTA,,,,NOTA,NOTA,1061,17,1078,0.88,176304
Punjab,45,Garhshankar,10 JASWANT SINGH,MALE,46,SC,IND,Camera,421,0,421,0.34,176304
Punjab,45,Garhshankar,11 GONNY KHABRA,MALE,63,GENERAL,IND,Scissors,210,0,210,0.17,176304
Punjab,45,Garhshankar,12 AVTAR SINGH,MALE,69,GENERAL,IND,Pot,204,0,204,0.17,176304
Punjab,45,Garhshankar,13 DARSHAN SINGH,MALE,61,GENERAL,VIPIN,Stool,177,0,177,0.14,176304
TURN OUT,,,,,,TOTAL:,,,121646,826,122472,69.47,
Punjab,46,Banga,1 SUKHWINDER KUMAR SUKHI DR.,MALE,61,SC,SAD,Scales,37106,232,37338,32.38,165407
Punjab,46,Banga,2 TARLOCHAN SINGH,MALE,67,SC,INC,Hand,32110,159,32269,27.99,165407
Punjab,46,Banga,3 KULJIT SINGH SARHAL,MALE,41,SC,AAAP,Broom,31857,163,32020,27.77,165407
Punjab,46,Banga,4 RAJ KUMAR MAHAL KHURD,MALE,46,SC,IND,Cot,5827,13,5840,5.07,165407
Punjab,46,Banga,5 MOHAN LAL BEHRAM,MALE,46,SC,BJP,Lotus,3951,23,3974,3.45,165407
Punjab,46,Banga,6 MAKHAN SINGH TAHARPURI,MALE,54,SC,SAD(M),SHIP,1097,0,1097,0.95,165407
Punjab,46,Banga,7 NOTA,,,,NOTA,NOTA,990,14,1004,0.87,165407
Punjab,46,Banga,8 PAUL RAM,MALE,62,SC,CPI,Ears of Corn And Sickle,629,2,631,0.55,165407
Punjab,46,Banga,9 KRISHAN LAL,MALE,46,SC,ASPKR,Kettle,584,0,584,0.51,165407
Punjab,46,Banga,10 MANJIT SINGH BHANGAL,MALE,57,SC,IND,Football Player,543,1,544,0.47,165407
TURN OUT,,,,,,TOTAL:,,,114694,607,115301,69.71,
Punjab,47,Nawan Shahr,1 DR. NACHHATAR PAL,MALE,47,SC,BSP,Elephant,36695,336,37031,29.9,177400
Punjab,47,Nawan Shahr,2 LALIT MOHAN BALLU,MALE,50,GENERAL,AAAP,Broom,31360,295,31655,25.56,177400
Punjab,47,Nawan Shahr,3 ANGAD SINGH,MALE,31,GENERAL,IND,Auto- Rickshaw,31342,174,31516,25.44,177400
Punjab,47,Nawan Shahr,4 SATVIR SINGH PALLI JHIKKI,MALE,59,GENERAL,INC,Hand,6952,46,6998,5.65,177400
Punjab,47,Nawan Shahr,5 KULDIP SINGH BAZIDPUR,MALE,41,GENERAL,IND,Cot,5684,22,5706,4.61,177400
Punjab,47,Nawan Shahr,6 DAVINDER SINGH,MALE,53,GENERAL,SAD(M),BUCKET,5034,3,5037,4.07,177400
Punjab,47,Nawan Shahr,7 POONAM MANIK,FEMALE,53,GENERAL,BJP,Lotus,3180,46,3226,2.6,177400
Punjab,47,Nawan Shahr,8 SURINDER SINGH,MALE,54,GENERAL,NATJUP,Truck,1075,0,1075,0.87,177400
Punjab,47,Nawan Shahr,9 NOTA,,,,NOTA,NOTA,639,4,643,0.52,177400
